bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,139,Have adaptive heuristic include only full cycles in average cycle time,earthling-amzn,2022-05-04,2022-05-04,integrated,Amazon,US,0,zhengyu123
,140,Filter out invalid pointers picked up by old gen SATB,earthling-amzn,2022-05-10,2022-05-12,integrated,Amazon,US,2,kdnilsen
,141,Start young collect instead of old if mixed evacuations are pending,earthling-amzn,2022-05-18,2022-05-18,integrated,Amazon,US,0,kdnilsen
,142,Fix fullgc,kdnilsen,2022-06-08,2022-06-13,integrated,Amazon,US,5,earthling-amzn
,143,Reserve regions for the collector according to generational reserves,earthling-amzn,2022-06-09,2022-06-09,integrated,Amazon,US,0,kdnilsen
,144,Improve humongous remset scan,kdnilsen,2022-06-14,2022-06-17,integrated,Amazon,US,3,earthling-amzn
,145,Pack old evacuations tightly,kdnilsen,2022-06-24,2022-06-24,integrated,Amazon,US,0,earthling-amzn
,146,Remove unnecessary checks identified by reviewer,kdnilsen,2022-06-24,2022-06-24,integrated,Amazon,US,0,"ysramakrishna,earthling-amzn"
,147,Adaptive heuristic should take reserved memory into account,earthling-amzn,2022-06-27,2022-06-28,integrated,Amazon,US,1,kdnilsen
,148,Refactor budgeting to make the logic cleaner,kdnilsen,2022-06-28,2022-07-13,integrated,Amazon,US,15,"earthling-amzn,rkennke"
,149,"Handle old, pinned regions",earthling-amzn,2022-07-05,2022-08-09,integrated,Amazon,US,35,"ysramakrishna,kdnilsen"
,150,cli options for young/old ShenandoahMinFreeThreshold,caojoshua,2022-07-05,2022-07-06,integrated,Amazon,US,1,"ysramakrishna,earthling-amzn"
,151,Windows compiler does not support variable length arrays,earthling-amzn,2022-07-05,2022-07-06,integrated,Amazon,US,1,"ysramakrishna,kdnilsen"
,152,Include a version identifier in region sampling protocol for visualizer,earthling-amzn,2022-07-12,2022-07-12,integrated,Amazon,US,0,kdnilsen
,153,Load balance remembered set scanning,kdnilsen,2022-07-27,2022-08-01,integrated,Amazon,US,5,earthling-amzn
,154,Merge openjdk/jdk:master ,earthling-amzn,2022-08-01,2022-08-02,integrated,Amazon,US,1,rkennke
,156,Fix budgeting assertion,kdnilsen,2022-08-05,2022-08-13,integrated,Amazon,US,8,"ysramakrishna,earthling-amzn"
,157,Include old humongous start regions when counting immediate garbage,earthling-amzn,2022-08-08,2022-08-09,integrated,Amazon,US,1,"ysramakrishna,kdnilsen"
,158,Log rotation,cfumiwu,2022-08-26,2022-09-01,integrated,,,6,earthling-amzn
,159,Use only up to ConcGCThreads for concurrent RS scanning.,ysramakrishna,2022-08-27,2022-08-29,integrated,,,2,"kdnilsen,earthling-amzn"
,160,Fix off-by-one error when verifying object registrations,earthling-amzn,2022-09-02,2022-09-02,integrated,Amazon,US,0,kdnilsen
,161,Merge openjdk/jdk:master,earthling-amzn,2022-09-02,2022-09-02,integrated,Amazon,US,0,
,162,Shenandoah unified logging,cfumiwu,2022-09-02,2022-09-06,integrated|oca,,,4,"shipilev,earthling-amzn"
,163,Merge openjdk/jdk:master,earthling-amzn,2022-10-24,2022-10-24,integrated,Amazon,US,0,
,164,Merge openjdk/jdk:master,earthling-amzn,2022-10-25,2022-10-25,integrated,Amazon,US,0,
,165,Fix assertion error with advance promotion budgeting,kdnilsen,2022-10-31,2022-11-01,integrated,Amazon,US,1,rkennke
,166,Fix preemption of coalesce and fill,kdnilsen,2022-11-02,2022-11-02,integrated,Amazon,US,0,earthling-amzn
,167,Improve evacuation instrumentation,earthling-amzn,2022-11-04,2022-11-07,integrated,Amazon,US,3,kdnilsen
,168,Merge openjdk/jdk:master,earthling-amzn,2022-11-10,2022-11-10,integrated,Amazon,US,0,rkennke
,169,Improve some defaults and remove unused options for generational mode,earthling-amzn,2022-11-10,2022-11-10,integrated,Amazon,US,0,rkennke
,170,Change affiliation representation,kdnilsen,2022-11-14,2022-11-16,integrated,Amazon,US,2,"ysramakrishna,earthling-amzn"
