bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,187,Add some inlining and avoid CAS for quick_enter for lightweight locking.,coleenp,2024-07-01,2024-07-02,integrated,Oracle,US,1,xmas92
,189,Merge jdk:jdk-24+9,rkennke,2024-12-05,2024-12-05,integrated|clean,Red Hat,CH,0,tstuefe
,190,Merge jdk:jdk-25+1,rkennke,2024-12-09,2024-12-10,integrated|clean,Red Hat,CH,1,
8346011,191,8346011: [Lilliput] Compact Full-GC Forwarding,rkennke,2024-12-11,2025-01-22,integrated,Red Hat,CH,42,tstuefe
8320761,192,8320761: [Lilliput] Implement compact identity hashcode,rkennke,2024-12-17,2025-01-22,integrated,Red Hat,CH,36,tstuefe
8347710,193,8347710: [Lilliput] Implement 4 byte headers,rkennke,2025-01-21,2025-01-24,integrated,Red Hat,CH,3,tstuefe
8347711,195,8347711: [Lilliput] Parallel GC support for compact identity hashcode,rkennke,2025-03-14,2025-04-10,integrated,Red Hat,CH,27,tstuefe
8353849,196,8353849: [Lilliput] Avoid race in compact identity hashcode,rkennke,2025-04-07,2025-04-08,integrated,Red Hat,CH,1,"earthling-amzn,zhengyu123"
,201,Merge jdk:jdk-26+6,rkennke,2025-07-17,2025-07-17,integrated|clean,Red Hat,CH,0,
8368755,203,8368755: [Lilliput] Fix CompressedClassSpaceSize handling,rkennke,2025-09-26,2025-09-26,integrated,Red Hat,CH,0,tstuefe
8370258,204,8370258: Lilliput2: java/lang/instrument/GetObjectSizeIntrinsicsTest fails,ysramakrishna,2025-10-21,2025-10-23,integrated,,,2,"tstuefe,rkennke"
8371186,205,8371186: Lilliput2: Disable JFR Leak Profiler & related tests until it's fixed with +UseCompactObjectHeaders,ysramakrishna,2025-11-04,2025-11-06,integrated,,,2,rkennke
,206,Merge jdk:jdk-26+26,rkennke,2025-12-15,2025-12-29,integrated|clean,Red Hat,CH,14,ysramakrishna
8379810,208,8379810: [Lilliput2] Crash in Parallel heap inspection,olivergillespie,2026-03-11,2026-03-17,integrated,Amazon,US,6,rkennke
8379910,209,8379910: [Lilliput2] Crash in Parallel GC copy_unmarked_to_survivor_space,olivergillespie,2026-03-12,2026-03-17,integrated,Amazon,US,5,rkennke
