bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,25,6665: .project files still exist for removed platform definitions,jiekang,2020-01-06,2020-01-07,integrated,,,1,thegreystone
,26,6663: Reloading the Flame Chart View in Linux displays file browser,jiekang,2020-01-06,2020-01-07,integrated,,,1,thegreystone
,27,6364: Improvements to the Thread Graph,aptmac,2020-01-08,2020-11-16,integrated|outdated,IBM,,313,guruhb
,28,6659: Remove 'Showing X of Y events...' table message when not applicable,jessyec-s,2020-01-10,2020-01-14,integrated,,,4,thegreystone
,29,6549: Color flame chart based on package name,mirage22,2020-01-12,2020-01-15,integrated,,,3,thegreystone
,30,6671: Eagerly convert end time to the same unit as start time,Gunde,2020-01-13,2020-01-13,integrated,,,0,thegreystone
,31,6674: Optimize finding of first start time and first & last end times,Gunde,2020-01-14,2020-01-27,rfr|integrated,,,13,thegreystone
,32,6660: Make JMX API not return classes,jessyec-s,2020-01-15,2020-01-17,integrated,,,2,thegreystone
,33,6674: Use try-with-resource in more places and close un-closed resources,Gunde,2020-01-15,2020-01-17,integrated,,,2,thegreystone
,34,6668: Move org.openjdk.jmc.jdp bundle from application to core,jiekang,2020-01-15,2020-01-16,integrated,,,1,Gunde
,36,6672: JavaScript formatting template,thegreystone,2020-01-17,2020-01-20,integrated,Datadog,,3,Gunde
,37,6661: Simplify Agent JMX tests,jessyec-s,2020-01-17,2020-01-20,integrated,,,3,thegreystone
,38,6670: Harmonize ~ Unclassifiable ~ across Flame View and Stacktrace View,mirage22,2020-01-19,2020-01-24,integrated,,,5,thegreystone
