bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,618,Add support for other onnx providers (CoreML),ammbra,2025-10-17,2025-10-21,integrated,,,4,asotona
,619,Added @hat/help and @hat/test-suite,grfrost,2025-10-17,2025-10-17,integrated,Oracle,,0,
,620,Added simple map transformer to OpTk + Config convenience methods,grfrost,2025-10-19,2025-10-19,integrated,Oracle,,0,
,621,first pass at mapping HATOp phase Transformers to us  OpTk form,grfrost,2025-10-20,2025-10-20,integrated,Oracle,,0,
,622,Quick hack to allow us to override codegen with annotation,grfrost,2025-10-20,2025-10-20,integrated,Oracle,,0,
,623,BytecodeLift and related tests move under tests bytecode/lift,asotona,2025-10-20,2025-10-21,integrated,Oracle,CZ,1,PaulSandoz
,624,[hat] Initial support for 16-bits float types (half),jjfumero,2025-10-21,2025-10-21,integrated,Oracle,,0,
,625,[hat] clean-up non-necessary methods for vector types,jjfumero,2025-10-21,2025-10-21,integrated,Oracle,,0,
,626,Refactored MemoryPhases to innerclasses,grfrost,2025-10-21,2025-10-21,integrated,Oracle,,0,
,627,more phase transform refctoring and a fix to hat.java for props,grfrost,2025-10-21,2025-10-21,integrated,Oracle,,0,
,628,Added  opencl-jextracted-backend to bld,grfrost,2025-10-21,2025-10-21,integrated,Oracle,,0,
,629,[hat] F16 object creation within device code via F16.of,jjfumero,2025-10-22,2025-10-22,integrated,Oracle,,0,
,630,[hat] CPU Implementation for F16,jjfumero,2025-10-22,2025-10-22,integrated,Oracle,,0,
,631,Phase tranform refactoring and fixed before/after CallSite tracking,grfrost,2025-10-22,2025-10-22,integrated,Oracle,,0,
,632,Added non-hatified view 3d perspective example,grfrost,2025-10-23,2025-10-23,integrated,Oracle,,0,
,633,Allow arbritrary text to be injected using annotations,grfrost,2025-10-23,2025-10-23,integrated,Oracle,,0,
,635,Update JDK version in opgen project,ammbra,2025-10-23,2025-10-23,integrated,,,0,asotona
,636,Simplify parsing of view data,grfrost,2025-10-23,2025-10-23,integrated,Oracle,,0,
,637,[hat] TestMul 1D thread-block and test f16 improved,jjfumero,2025-10-24,2025-10-24,integrated,Oracle,,0,
,638,OnnxLift prototype,asotona,2025-10-24,2025-10-29,integrated,Oracle,CZ,5,
,639,[hat] Enable PROFILE_CUDA_KERNEL option,jjfumero,2025-10-24,2025-10-24,integrated,Oracle,,0,
,640,[hat] config.h in sync with the auto-generator,jjfumero,2025-10-24,2025-10-24,integrated,Oracle,,0,
,641,Hat util regex,grfrost,2025-10-24,2025-10-24,integrated,Oracle,,0,
,642,Proposal for supporting Float4.of for CPU host code and GPU device code,jjfumero,2025-10-24,2025-10-31,integrated,Oracle,,7,
,643,Coverted enum base view parser to iface based,grfrost,2025-10-24,2025-10-24,integrated,Oracle,,0,
,645,Upgrade ONNX runtime to use API version 1.23.1,ammbra,2025-10-27,2025-10-29,integrated,,,2,asotona
,646,Float4 arrayView support,rbrchen,2025-10-27,2025-11-08,integrated,,,12,
,647,Second Proposal to generalize handling of Vector Types based on 644,jjfumero,2025-10-28,2025-10-31,integrated,Oracle,,3,
,648,Fixed BytecodeGenerator INDY calls with invalid interface method type,asotona,2025-10-29,2025-10-29,integrated,Oracle,CZ,0,PaulSandoz
,649,Hat refactor view,grfrost,2025-10-29,2025-10-29,integrated,Oracle,,0,
,650,Hat view more tinkering,grfrost,2025-10-30,2025-10-30,integrated,Oracle,,0,
,651,Moved job src into hat project,grfrost,2025-10-30,2025-10-30,integrated,Oracle,,0,
,652,Merge master,PaulSandoz,2025-10-30,2025-10-30,integrated,Oracle,,0,
,653,Added TLDR  build+run instructions to README and simplified hat.java,grfrost,2025-10-31,2025-10-31,integrated,Oracle,,0,
,656,Deprecated APIs for accessing GPU global thread information removed. ,jjfumero,2025-11-03,2025-11-03,integrated,Oracle,,0,
,657,[hat][API] ComputeRange moved to NDRange ,jjfumero,2025-11-04,2025-11-04,integrated,Oracle,,0,
,658,Hat fix vj parsing,grfrost,2025-11-04,2025-11-04,integrated,Oracle,,0,
,659,allow -Dconstraint.scale.[start|stop] and -Dconstraint.inc properties,grfrost,2025-11-04,2025-11-04,integrated,Oracle,,0,
,660,Retired some config bits and added some new ones. ,grfrost,2025-11-04,2025-11-04,integrated,Oracle,,0,
,661,Fix modeling of expressions with record symbols,PaulSandoz,2025-11-04,2025-11-04,integrated,Oracle,,0,
,662,[hat] NDRange API using marking interfaces,jjfumero,2025-11-05,2025-11-05,integrated,Oracle,,0,
,663,[hat] Extensions of F16 (API and codegen),jjfumero,2025-11-05,2025-11-07,integrated,Oracle,,2,
,664,Improve runtime invocation,ammbra,2025-11-05,2025-11-06,integrated,,,1,PaulSandoz
,665,Hat view example even more tinkering,grfrost,2025-11-05,2025-11-05,integrated,Oracle,,0,
,666,[hat] Float2 supported,jjfumero,2025-11-06,2025-11-07,integrated,Oracle,,1,
,667,Drop support for quoted structural lambdas,mcimadamore,2025-11-06,2025-11-06,integrated,Oracle,GB,0,PaulSandoz
,668,Drop ClosureOp and ClosureOpCall,mcimadamore,2025-11-07,2025-11-07,integrated,Oracle,GB,0,PaulSandoz
