username,full_name,jdk_role,other_projects
sbordet,Simone Bordet,Author,
sbrannen,Sam Brannen,Author,
schernyshev,Sergey Chernyshev,Author,
scolebourne,Stephen Colebourne,Author,
sdama,Srinivas Dama,Committer,
sdohrmann,Steve Dohrmann,Author,
sdrach,Steve Drach,Committer,
sebastian,Sebastian Sickelmann,Author,
semery,Shawn Emery,Author,
serb,Sergey Bylokhov,Reviewer,"client-libs: Member, vulnerability: Member"
sgehwolf,Severin Gehwolf,Reviewer,ide-support: Member
sgibbons,Scott Gibbons,Committer,
sgrinovero,Sanne Grinovero,Author,
sgroeger,Steve Groeger,Author,
shade,Aleksey Shipilev,Reviewer,"aarch64-port: Committer, build: Member, code-tools: Committer, hotspot: Member"
sherman,Xueming Shen,Reviewer,core-libs: Member
shinyafox,Shinya Yoshida,Committer,
shoubing,Shoubing Ma,Author,
shshahma,Shafi Ahmad,Author,
shurailine,Alexandre Iline,Committer,
sguoyun,Sun Guoyun,Author,
sgupta,Shobhit Gupta,Author,
simonis,Volker Simonis,Reviewer,"aarch32-port: Committer, build: Member, crac: Committer, hotspot: Member, porters: Member, vulnerability: Member"
sjiang,Shanliang Jiang,Committer,
sjayagond,Sidraya Jayagond,Author,
sjohanss,Stefan Johansson,Reviewer,"galahad: Committer, hotspot: Member"
skodandarama,Suman Rajkumaar Kodandarama,Author,
skovalev,Sergei Kovalev,Author,
skuksenko,Sergey Kuksenko,Committer,
sla,Staffan Larsen,Reviewer,serviceability: Member
slugovoy,Sergey Lugovoy,Author,
smahaliswamy,Sureshkumar Mahaliswamy,Author,
smandalika,Srinivas Mandalika,Author,
smarks,Stuart Marks,Reviewer,"core-libs: Member, guide: Committer"
smonteith,Stuart Monteith,Author,
snatarajan,Saranya Natarajan,Committer,
snikandrova,Svetlana Nikandrova,Committer,
sogoel,Sonali Goel,Committer,
sparasa,Srinivas Vamsi Parasa,Committer,
srastogi,Shilpi Rastogi,Author,
srl,Steven Loomis,Committer,i18n: Member
sroy,Suchismith Roy,Author,
srukmannagar,Shravya Rukmannagari,Committer,
ssachkov,Serhiy Sachkov,Author,
ssahoo,Sibabrata Sahoo,Committer,
ssarathi,Sorna Sarathi N,Author,
ssides,Steve Sides,Committer,
ssimonchik,Sergey Simonchik,Author,
sspitsyn,Serguei Spitsyn,Reviewer,"galahad: Committer, hotspot: Member, serviceability: Lead"
ssreedharan,Sreeprakash Sreedharan,Author,
ssteiner,Simon Steiner,Author,
sstenzel,Sebastian Stenzel,Author,
ssubramaniam,Satyen Subramaniam,Author,
stefank,Stefan Karlsson,Reviewer,"galahad: Committer, hotspot: Member"
stn,Sharath TN,Author,
stooke,Simon Tooke,Author,
stsmirno,Stanislav Smirnov,Author,
stuefe,Thomas Stuefe,Reviewer,hotspot: Member
stsypanov,Sergey Tsypanov,Author,
sundar,Athijegannathan Sundararajan,Reviewer,"code-tools: Committer, detroit: Lead"
sveerabhadra,Shashidhara Veerabhadraiah,Committer,
sviswanathan,Sandhya Viswanathan,Reviewer,
svijayasekar,Saravana Kumar Vijayasekaran,Author,
svkamath,Smita Kamath,Committer,
swang,Shuai Wang,Author,
swati,Swati Sharma,Author,
swesonga,Saint Wesonga,Author,
swen,Shaojin Wen,Committer,
syan,SendaoYan,Committer,
syaqi,Sun Yaqi,Author,
szaldana,Sonia Zaldana Calles,Committer,
tamao,Tao Mao,Committer,
tbenson,Thomas Benson,Author,
tbell,Tim Bell,Reviewer,"build: Member, serviceability: Member, web: Member"
thartmann,Tobias Hartmann,Reviewer,"galahad: Committer, hotspot: Member"
tholenstein,Tobias Holenstein,Reviewer,hotspot: Member
thurka,Tomas Hurka,Committer,serviceability: Member
tidu,Tim Du,Author,
tilman,Tilman Hausherr,Author,
tintin,Lehua Ding,Author,
tkiriyama,Takuya Kiriyama,Committer,
tjonker,Todd Jonker,Author,
tnakamura,Toshio Nakamura,Committer,
tobermeier,Thomas Obermeier,Author,
tonyp,Antonios Printezis,Reviewer,hotspot: Member
tpivovarova,Tatiana Pivovarova,Committer,
tprinzing,Tim Prinzing,Author,
